threat_name,category,description
Нууц үг таах халдлага,Халдагчийн,Нууц үгийг давтан таах оролдлого
Алдагдсан нэвтрэх мэдээлэл ашиглах,Халдагчийн,Алдагдсан нэвтрэх мэдээллийг олон үйлчилгээ дээр дахин ашиглах
Фишинг имэйл халдлага,Халдагчийн,Нэвтрэх мэдээлэл хулгайлах залилангийн имэйл
Зорилтот фишинг,Халдагчийн,Ажилтнуудад чиглэсэн зорилтот фишинг
Хорт програмын халдвар,Халдагчийн,Систем дээр хорт програм суулгах
Рансомвэр,Халдагчийн,Файлуудыг шифрлэж төлбөр нэхэх халдлага
SQL тарилга,Аппликейшн,Оролтоор дамжуулан SQL асуулга оруулах
Cross-Site Scripting,Аппликейшн,Вэб аппликейшнд скрипт оруулах
Эрхийн түвшин нэмэгдүүлэх,Халдагчийн,Зөвшөөрөлгүйгээр эрхийн түвшин нэмэгдүүлэх
Бүртгэл эзлэх халдлага,Халдагчийн,Хууль ёсны хэрэглэгчийн бүртгэлийг эзлэх
Өгөгдөл гадагш алдагдуулах,Халдагчийн,Мэдрэмтгий өгөгдлийг зөвшөөрөлгүй шилжүүлэх
Дотоод аюул,Хүний хүчин зүйл,Ажилтны санаатай эсвэл хайхрамжгүй үйлдэл
Зөвшөөрөлгүй IT хэрэглээ,Засаглал,Зөвшөөрөлгүй үүлэн үйлчилгээ эсвэл сервис ашиглах
Сул шифрлэлт,Криптограф,Шифрлэлтийн хамгаалалт хангалтгүй байх
Нөхөөс хийгдээгүй эмзэг байдал,Техникийн,Аюулгүй байдлын шинэчлэлт хийгдээгүй байх
Буруу тохиргоо,Техникийн,Системийн аюулгүй байдлын тохиргоо буруу байх
API түлхүүр ил гарах,Аппликейшн,Репозиторид нэвтрэх мэдээлэл алдагдах
Дундын хүн халдлага,Сүлжээ,Харилцаа холбоог завсраас нь саатуулах
DNS булаалт,Сүлжээ,DNS өөрчлөлтөөр урсгалыг өөр тийш чиглүүлэх
Үйлчилгээ тасалдуулах халдлага,Сүлжээ,Үйлчилгээний хүртээмжийг хэт ачааллаар тасалдуулах
Тархсан үйлчилгээ тасалдуулах халдлага,Сүлжээ,Олон эх үүсвэртэй том хэмжээний DoS халдлага
Сүлжээний траффик чагнах,Сүлжээ,Мэдрэмтгий сүлжээний урсгалыг барьж авах
Утасгүй сүлжээ чагнах,Сүлжээ,Wi-Fi урсгалыг замаас нь сонсох
Нийлүүлэлтийн сүлжээний халдлага,Нийлүүлэлтийн сүлжээ,Нийлүүлэгчийн програм эсвэл тоног төхөөрөмжийг өөрчлөх
Нөөцлөлтийн алдаа,Хүртээмж,Систем эсвэл өгөгдлийг сэргээх боломжгүй болох
Лог өөрчлөх,Хяналт,Аудитын логийг устгах эсвэл өөрчлөх
Session булаалт,Аппликейшн,Хэрэглэгчийн session-г хулгайлах
Үүлэн орчны буруу тохиргоо,Үүлэн орчин,Нээлттэй storage эсвэл ил гарсан үйлчилгээ
Олон түрээслэгчийн тусгаарлалтын алдаа,Үүлэн орчин,Түрээслэгч хоорондын зөвшөөрөлгүй хандалт
USB-ээр дамжих endpoint хорт програм,Endpoint,Зөөврийн төхөөрөмжөөр хорт програм тархах
Зөвшөөрөлгүй алсын хандалт,Хандалтын хяналт,Зөвшөөрөөгүй гадны нэвтрэлт
VPN split tunneling ашиглалт,Сүлжээ,Хамгаалалтыг тойрч урсгал дамжуулах
Мобайл төхөөрөмжийн халдлага,Endpoint,Ухаалаг утас эсвэл зөөврийн компьютерыг ашиглан халдах
Үйлдлийн системийн доголдол,Бүтцийн,OS-ийн алдаанаас үүдсэн тасалдал
Аппликейшний програмын доголдол,Бүтцийн,Чухал аппликейшн гацах
Дискний эвдрэл,Бүтцийн,Хадгалах төхөөрөмжийн доголдол
Боловсруулах тоног төхөөрөмжийн эвдрэл,Бүтцийн,Серверийн CPU эсвэл RAM-ийн доголдол
Харилцаа холбооны тоног төхөөрөмжийн эвдрэл,Бүтцийн,Router эсвэл switch-ийн эвдрэл
Цахилгаан тэжээлийн тасалдал,Орчны,Цахилгааны тасалдлын нөлөө
Харилцаа холбооны тасалдал,Орчны,Интернет холболтын тасалдал
Гал түймрийн тохиолдол,Орчны,Байгууламж галд өртөх
Үерийн тохиолдол,Орчны,Систем усанд гэмтэх
Газар хөдлөлт,Орчны,Дэд бүтцийн гэмтэл
Цар тахлаас үүдсэн ажиллах хүчний тасалдал,Орчны,Үйл ажиллагааны тасалдал
Орчны хяналтын системийн доголдол,Орчны,Хөргөлтийн системийн доголдол
